S,B,latency,"memory, mb",energy,"memory_calculated, mb"
112,8,0.0007268674671649933,18.6,0.08442966675415636,13.92
112,16,0.0011110189370810986,25.11,0.1402232471816987,23.87
112,32,0.001972628990188241,38.13,0.25243785236444327,43.78
112,64,0.0033020235132426023,64.61,0.35521328788455575,83.59
112,128,0.006159238982945681,117.24,0.7182606984013831,163.22
112,256,0.011907543521374464,221.39,1.7540512449965997,322.47
112,512,0.023355679353699088,430.19,3.6773585492513052,640.97
112,77,0.00420035794377327,76.4,0.6195787832529936,99.77
112,69,0.0036334150936454535,69.05,0.5263762699816377,89.81
112,63,0.0034175976179540157,63.95,0.4520295196214178,82.35
48,1,0.0007790764793753624,12.27,0.08777906945500522,4.2
48,2,0.0007360996678471565,12.39,0.08772778761187569,4.43
48,4,0.0007395399734377861,12.69,0.08767423366950824,4.88
48,8,0.0007458417676389217,13.29,0.08770445500364527,5.8
48,16,0.000809249235317111,19.18,0.07102280490558593,7.62
48,32,0.0007442273199558258,16.88,0.0712526324814558,11.28
48,64,0.0009162323549389839,21.73,0.09546790928501635,18.59
48,128,0.0016540149226784706,31.24,0.16588795126836747,33.22
48,256,0.0026850320864468813,50.39,0.23814771237489768,62.47
48,512,0.004992220783606172,89.82,0.4935459904706059,120.97
48,77,0.0011141570284962654,24.62,0.11501597167141736,21.56
48,69,0.0009460633154958487,22.43,0.09191064296655355,19.74
48,63,0.000910796457901597,21.75,0.09165089507348836,18.37
496,1,0.0013381785247474909,28.07,0.1602945049759001,28.37
496,2,0.0023092275951057673,45.23,0.26697939767874773,52.77
496,4,0.004088170360773802,77.63,0.48369663266155877,101.57
496,8,0.007696707732975483,140.71,0.9592292958298231,199.17
496,16,0.014813468558713794,268.32,2.2050679861603535,394.37
496,32,0.029243461089208722,522.63,4.590335939281182,784.78
496,64,0.05574255669489503,1033.17,8.709135986751518,1565.59
496,128,0.1092711417004466,2055.24,17.281842094012653,3127.22
496,256,0.21925545390695333,4097.39,34.61541617190063,6250.47
496,512,0.4373788123484701,8182.19,68.58421892840363,12496.97
496,77,0.0669340044260025,1241.7,10.48359255141414,1882.8
496,69,0.06022871285676956,1114.43,9.436444404766938,1687.6
496,63,0.05478034261614084,1017.86,8.583525598639776,1541.19
